Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount
Katarzyna Kopczewska,Katarzyna Kopczewska,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",25,11
Janusz Kuda,Janusz Kudła,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",6,6
Konrad Walczyk,Konrad Walczyk,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",6,6
Robert Kruszewski,Robert Kruszewski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",6,6
Agata Kocia,Agata Kocia,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",20,10
Krzysztof Opolski,Krzysztof Opolski,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",3,1
Piotr Modzelewski,Piotr Modzelewski,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",2,1
Torrisi Richard c,C Richard Torrisi,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,1
Christian J delaunay,Christian J Delaunay,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,1
Marta Lubieniecka,Marta Lubieniecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,1
Anna Zurawiecka,Anna Żurawiecka,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Grazyna Szymanska,Grazyna Szymanska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Marzena Maselewska,Marzena Maselewska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",2,2
Natalia Nehrebecka,Natalia Nehrebecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",3,1
Anna Bartczak,Anna Bartczak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",3,1
Agnieszka Kopanska,Agnieszka Kopanska,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Jan Raczka,Jan Raczka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Roman Asinski,Roman Asinski,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Tony Levitas,Tony Levitas,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Roman Dolata,Roman Dolata,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",2,1
Micha Sitek,Michał Sitek,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Kopanska Agnieszka,Kopańska Agnieszka,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Kula Grzegorz,Kula Grzegorz,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Siwinska-gorzelak Joanna,Siwińska-Gorzelak Joanna,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Bukowska Grazyna,Bukowska Grażyna,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
