Source,Target,Weight
Abdul Haseeb,Muhammad Usman,1
Abdul Haseeb,Muhammad Wasif Zafar,1
Abdul Haseeb,Rana Umair Ashraf,1
Abdul Haseeb,Ma Zhiqiang,1
Adam Polko,Artur Ochojski,6
Adam Polko,Dagmara Kociuba,2
Adam Polko,Katarzyna Kopczewska,4
Adam Polko,Pawel Churski,6
Adele Ossareh,Mohammad Saeed Pourjafar,1
Adele Ossareh,Kopczewski Tomasz,1
Adrian Penalver,Claus Brand,1
Adrian Penalver,Marcin Bielecki,1
Adriana Wloka,Aleksandra Keska,1
Adriana Wloka,Anna Janicka,1
Adriana Wloka,Joanna Swiesciak,1
Adriana Wloka,Justyna Molska,1
Adriana Wloka,Kacper Ostrowski,1
Adriana Wloka,Maciej Zawislak,1
Adriana Wloka,Radoslaw Wlostowski,1
Agata Balmas,Kula Grzegorz,2
Agata Balmas,Kamila Waclawska,2
Agata Balmas,Monika Koppl Turyna,2
Agata Gondek,Agnieszka Cudnoch-Jedrzejewska,1
Agata Gondek,Barbara Grzechocinska,1
Agata Gondek,Filip A Dabrowski,1
Agata Gondek,Katarzyna Czarzasta,1
Agata Gondek,Lukasz Michalowski,1
Agata Gondek,Marcin Chlebus,1
Agata Gondek,Miroslaw Wielgos,1
Agata Gorny,Andrzej Kubisiak,1
Agata Gorny,Aneta Stefanczyk,1
Agata Gorny,Maciej Bitner,1
Agata Gorny,Maciej Duszczyk,1
Agata Gorny,Marek Okolski,1
Agata Gorny,Monika Szulecka,1
Agata Gorny,Pawel Kaczmarczyk,4
Agata Gorny,Urszula Siedlecka,1
Agata Kocia,Anna Zurawiecka,1
Agata Kocia,Christian J Delaunay,2
Agata Kocia,Grazyna Szymanska,1
Agata Kocia,Janusz Kudla,6
Agata Kocia,Katarzyna Kopczewska,6
Agata Kocia,Konrad Walczyk,6
Agata Kocia,Krzysztof Opolski,3
Agata Kocia,Marta Lubieniecka,2
Agata Kocia,Marzena Maselewska,2
Agata Kocia,Natalia Nehrebecka,1
Agata Kocia,Piotr Modzelewski,2
Agata Kocia,Robert Kruszewski,6
Agata Kocia,Richard C Torrisi,2
Agata Miazga,Anna Nicinska,1
Agata Miazga,Malgorzata Kalbarczyk-Steclik,1
Agnieszka Allen,Filip Targowski,1
Agnieszka Allen,Grzegorz Tchorek,1
Agnieszka Allen,Katarzyna Dziewanowska,1
Agnieszka Allen,Michal Brzozowski,1
Agnieszka Allen,Michal Kurtyka,1
Agnieszka Allen,Waldemar Koziol,1
Agnieszka Chlon-Dominczak,Anita Abramowska-Kmon,1
Agnieszka Chlon-Dominczak,Anna Maliszewka,1
Agnieszka Chlon-Dominczak,Anna Nicinska,1
Agnieszka Chlon-Dominczak,Dorota Holzer-Zelazewska,1
Agnieszka Chlon-Dominczak,Irena E Kotowska,1
Agnieszka Chlon-Dominczak,Magdalena Michalejko,1
Agnieszka Chlon-Dominczak,Maja Rynko,1
Agnieszka Chlon-Dominczak,Malgorzata Bala,1
Agnieszka Chlon-Dominczak,Malgorzata Kalbarczyk-Steclik,1
Agnieszka Chlon-Dominczak,Marta Palczynska,1
Agnieszka Chlon-Dominczak,Mateusz Najsztub,1
Agnieszka Chlon-Dominczak,Michal Myck,1
Agnieszka Chlon-Dominczak,Monika Oczkowska,1
Agnieszka Chlon-Dominczak,Roman Topor-Madry,1
Agnieszka Chlon-Dominczak,Wojciech Paczynski,1
Agnieszka Cudnoch-Jedrzejewska,Barbara Grzechocinska,1
Agnieszka Cudnoch-Jedrzejewska,Filip A Dabrowski,1
Agnieszka Cudnoch-Jedrzejewska,Katarzyna Czarzasta,1
Agnieszka Cudnoch-Jedrzejewska,Lukasz Michalowski,1
Agnieszka Cudnoch-Jedrzejewska,Marcin Chlebus,1
Agnieszka Cudnoch-Jedrzejewska,Miroslaw Wielgos,1
Agnieszka Fihel,Anna Janicka,1
Agnieszka Fihel,Anna Nicinska,3
Agnieszka Fihel,Joanna Nestorowicz,1
Agnieszka Fihel,Malgorzata Kalbarczyk-Steclik,3
Agnieszka Fihel,Marek Okolski,1
Agnieszka Fihel,Pawel Kaczmarczyk,4
Agnieszka Fihel,Renata Stefanska,1
Agnieszka Hryniewicka,Bartlomiej Rokicki,1
Agnieszka Hryniewicka,Iwona Kukulak-Dolata,1
Agnieszka Hryniewicka,Lukasz Arendt,1
Kopanska Agnieszka,Anna Bartczak,2
Kopanska Agnieszka,Anthony Levitas,1
Kopanska Agnieszka,Jan Raczka,1
Kopanska Agnieszka,Siwinska-Gorzelak Joanna,1
Kopanska Agnieszka,Krzysztof Witkowski,1
Kopanska Agnieszka,Michal Zarzycki,1
Kopanska Agnieszka,Roman Asinski,1
Kopanska Agnieszka,Thomas H Cochran,1
Kopanska Agnieszka,Tony Levitas,1
Agnieszka Kulesza,Aleksandra Zolocinska,1
Agnieszka Kulesza,Anna Burdzinska,1
Agnieszka Kulesza,Beata Kaleta,1
Agnieszka Kulesza,Filip A Dabrowski,1
Agnieszka Kulesza,Jan Borysowski,1
Agnieszka Kulesza,Leszek Paczek,1
Agnieszka Kulesza,Marcin Chlebus,1
Agnieszka Kulesza,Miroslaw Wielgos,1
Agnieszka Piechocka-Kaluzna,Aldona Kamela-Sowinska,1
Agnieszka Piechocka-Kaluzna,Dawid Garstecki,1
Agnieszka Piechocka-Kaluzna,Elzbieta Izabela Szczepankiewicz,1
Agnieszka Piechocka-Kaluzna,Ewa Rozanska,1
Agnieszka Piechocka-Kaluzna,Helena Poetschke,1
Agnieszka Piechocka-Kaluzna,Joanna Blazynska,1
Agnieszka Piechocka-Kaluzna,Lukasz Matuszak,1
Agnieszka Piechocka-Kaluzna,Magdalena Kowalczyk,1
Agnieszka Piechocka-Kaluzna,Malgorzata Czerny,1
Agnieszka Piechocka-Kaluzna,Malgorzata Macuda,1
Agnieszka Piechocka-Kaluzna,Marek Cieslak,1
Agnieszka Piechocka-Kaluzna,Marek Masztalerz,1
Agnieszka Piechocka-Kaluzna,Maria Kiedrowska,1
Agnieszka Piechocka-Kaluzna,Marzena Remlein,1
Agnieszka Piechocka-Kaluzna,Piotr Gut,1
Agnieszka Piechocka-Kaluzna,Remigiusz Napiecek,1
Agnieszka Piechocka-Kaluzna,Wojciech Fliegner,1
Agnieszka Pugacewicz,Alfred Tovias,1
Agnieszka Pugacewicz,Jacek Rothert,1
Agnieszka Pugacewicz,Jan Hagemejer,1
Agnieszka Pugacewicz,Jan Jakub Michalek,1
Agnieszka Pugacewicz,Mark Vancauteren,1
Agnieszka Pugacewicz,Victoria Roshal,1
Agnieszka Sobianowska-Turek,Anna Barbara Janicka,1
Agnieszka Sobianowska-Turek,Anna Janicka,1
Agnieszka Sobianowska-Turek,Jedrzej Matla,1
Agnieszka Sobianowska-Turek,Maciej Zawislak,1
Agnieszka Sobianowska-Turek,Marek Reksa,1
Agnieszka Sobianowska-Turek,Weronika Urbanska,1
Agnieszka Stazka-Gawrysiak,Anna Kosior,2
Agnieszka Stazka-Gawrysiak,Beata Bierut,2
Agnieszka Stazka-Gawrysiak,Grzegorz Tchorek,2
Agnieszka Stazka-Gawrysiak,Izabela D Tymoczko,2
Agnieszka Stazka-Gawrysiak,Jacek Lewkowicz,2
