Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id.1,Id
Andrzej Cieslik,Andrzej Cieslik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",55,20,cieslik andrzej,Cieslik Andrzej
Robert Slepaczuk,Robert Slepaczuk,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",37,35,robert slepaczuk,Robert Slepaczuk
Pawel Sakowski,Pawel Sakowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",32,26,pawel sakowski,Pawel Sakowski
Katarzyna Kopczewska,Katarzyna Kopczewska,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",25,11,katarzyna kopczewska,Katarzyna Kopczewska
Jerzy Mycielski,Jerzy Mycielski,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",24,11,mycielski jerzy,Mycielski Jerzy
Jacek Lewkowicz,Jacek Lewkowicz,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",22,8,jacek lewkowicz,Jacek Lewkowicz
Marcin Bielecki,Marcin Bielecki,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",22,9,marcin bielecki,Marcin Bielecki
Jan Jakub michalek,Jan Jakub michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",21,14,jan jakub michalek,Jan Jakub Michalek
Jan Hagemejer,Jan Hagemejer,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",21,7,jan hagemejer,Jan Hagemejer
Agata Kocia,Agata Kocia,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",20,10,agata kocia,Agata Kocia
Grzegorz Wesolowski,Grzegorz Wesolowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",20,15,grzegorz wesolowski,Grzegorz Wesolowski
Juliusz Jablecki,Juliusz Jablecki,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",20,8,jablecki juliusz,Jablecki Juliusz
Anna Nicinska,Anna Nicinska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",19,5,anna nicinska,Anna Nicinska
Rana Umair ashraf,Rana Umair ashraf,Noise,,19,4,rana umair ashraf,Rana Umair Ashraf
Marcin Chlebus,Marcin Chlebus,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",19,7,marcin chlebus,Marcin Chlebus
Marcin Gruszczynski,Marcin Gruszczynski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",18,8,marcin gruszczynski,Marcin Gruszczynski
Olga Kiuila,Olga Kiuila,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",18,13,olga kiuila,Olga Kiuila
Krzysztof Szczygielski,Krzysztof Szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",18,12,and richard woodward krzysztof szczygielski,Krzysztof Szczygielski
Mikolaj Czajkowski,Mikolaj Czajkowski,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",18,10,mikolaj czajkowski,Mikolaj Czajkowski
Bartlomiej Rokicki,Bartlomiej Rokicki,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",18,16,bartlomiej rokicki,Bartlomiej Rokicki
Maciej Jakubowski,Maciej Jakubowski,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",18,11,maciej jakubowski,Maciej Jakubowski
Michal Brzozowski,Michal Brzozowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",18,5,michal brzozowski,Michal Brzozowski
Wojciech W grabowski,Wojciech W grabowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",17,12,wojciech w grabowski,Wojciech W Grabowski
Katarzyna Metelska-szaniawska,Katarzyna Metelska-szaniawska,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",17,8,katarzyna metelskaszaniawska,Katarzyna Metelska-Szaniawska
Ewa Aksman,Ewa Aksman,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",17,13,ewa aksman,Ewa Aksman
Tomasz Kopczewski,Tomasz Kopczewski,Noise,,17,7,kopczewski tomasz,Kopczewski Tomasz
Lukasz Goczek,Lukasz Goczek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",16,4,lukasz goczek,Lukasz Goczek
Joanna Tyrowicz,Joanna Tyrowicz,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",16,11,joanna tyrowicz,Joanna Tyrowicz
Pawel Kaczmarczyk,Pawel Kaczmarczyk,Noise,,16,9,pawel kaczmarczyk,Pawel Kaczmarczyk
Piotr Boguszewski,Piotr Boguszewski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",15,10,piotr boguszewski,Piotr Boguszewski
Eva Sierminska,Eva Sierminska,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",14,9,eva m sierminska,Eva Sierminska
Grzegorz Kula,Grzegorz Kula,Noise,,14,4,kula grzegorz,Kula Grzegorz
Lukasz Matuszak,Lukasz Matuszak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",14,12,lukasz matuszak,Lukasz Matuszak
Anna Janicka,Anna Janicka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",13,7,anna barbara janicka,Anna Janicka
Stanislaw Cichocki,Stanislaw Cichocki,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",12,5,stanislaw cichocki,Stanislaw Cichocki
Jakub Michankow,Jakub Michankow,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",11,9,jakub michankow,Jakub Michankow
Marcin Kolasa,Marcin Kolasa,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",11,8,marcin kolasa,Marcin Kolasa
