Source,Target,Weight
Abdul Haseeb,Muhammad Usman,1
Abdul Haseeb,Muhammad Wasif zafar,1
Abdul Haseeb,Rana Umair ashraf,1
Abdul Haseeb,Zhiqiang Ma,1
Adam Polko,Artur Ochojski,6
Adam Polko,Dagmara Kociuba,2
Adam Polko,Katarzyna Kopczewska,4
Adam Polko,Pawel Churski,6
Adele Ossareh,Mohammad Saeed pourjafar,1
Adele Ossareh,Tomasz Kopczewski,1
Adrian Penalver,Claus Brand,1
Adrian Penalver,Marcin Bielecki,1
Adriana Wloka,Aleksandra Keska,1
Adriana Wloka,Anna Janicka,1
Adriana Wloka,Joanna Swiesciak,1
Adriana Wloka,Justyna Molska,1
Adriana Wloka,Kacper Ostrowski,1
Adriana Wloka,Maciej Zawislak,1
Adriana Wloka,Radoslaw Wlostowski,1
Agata Balmas,Grzegorz Kula,2
Agata Balmas,Kamila Waclawska,2
Agata Balmas,Monika Koppl turyna,2
Agata Gondek,Agnieszka Cudnoch-jedrzejewska,1
Agata Gondek,Barbara Grzechocinska,1
Agata Gondek,Filip A dabrowski,1
Agata Gondek,Katarzyna Czarzasta,1
Agata Gondek,Lukasz Michalowski,1
Agata Gondek,Marcin Chlebus,1
Agata Gondek,Miroslaw Wielgos,1
Agata Gorny,Andrzej Kubisiak,1
Agata Gorny,Aneta Stefanczyk,1
Agata Gorny,Maciej Bitner,1
Agata Gorny,Maciej Duszczyk,1
Agata Gorny,Marek Okolski,1
Agata Gorny,Monika Szulecka,1
Agata Gorny,Pawel Kaczmarczyk,4
Agata Gorny,Urszula Siedlecka,1
Agata Kocia,Anna Zurawiecka,1
Agata Kocia,Christian J delaunay,2
Agata Kocia,Grazyna Szymanska,1
Agata Kocia,Janusz Kudla,6
Agata Kocia,Katarzyna Kopczewska,6
Agata Kocia,Konrad Walczyk,6
Agata Kocia,Krzysztof Opolski,3
Agata Kocia,Marta Lubieniecka,2
Agata Kocia,Marzena Maselewska,2
Agata Kocia,Natalia Nehrebecka,1
Agata Kocia,Piotr Modzelewski,2
Agata Kocia,Robert Kruszewski,6
Agata Kocia,Torrisi Richard c,2
Agata Miazga,Anna Nicinska,1
Agata Miazga,Malgorzata Kalbarczyk,1
Agnieszka Allen,Filip Targowski,1
Agnieszka Allen,Grzegorz Tchorek,1
Agnieszka Allen,Katarzyna Dziewanowska,1
Agnieszka Allen,Michal Brzozowski,1
Agnieszka Allen,Michal Kurtyka,1
Agnieszka Allen,Waldemar Koziol,1
Agnieszka Chlon-dominczak,Anita Abramowska-kmon,1
Agnieszka Chlon-dominczak,Anna Maliszewka,1
Agnieszka Chlon-dominczak,Anna Nicinska,1
Agnieszka Chlon-dominczak,Dorota Holzer-zelazewska,1
Agnieszka Chlon-dominczak,Irena E kotowska,1
Agnieszka Chlon-dominczak,Magdalena Michalejko,1
Agnieszka Chlon-dominczak,Maja Rynko,1
Agnieszka Chlon-dominczak,Malgorzata Bala,1
Agnieszka Chlon-dominczak,Malgorzata Kalbarczyk-steclik,1
Agnieszka Chlon-dominczak,Marta Palczynska,1
Agnieszka Chlon-dominczak,Mateusz Najsztub,1
Agnieszka Chlon-dominczak,Michal Myck,1
Agnieszka Chlon-dominczak,Monika Oczkowska,1
Agnieszka Chlon-dominczak,Roman Topor-madry,1
Agnieszka Chlon-dominczak,Wojciech Paczynski,1
Agnieszka Cudnoch-jedrzejewska,Barbara Grzechocinska,1
Agnieszka Cudnoch-jedrzejewska,Filip A dabrowski,1
Agnieszka Cudnoch-jedrzejewska,Katarzyna Czarzasta,1
Agnieszka Cudnoch-jedrzejewska,Lukasz Michalowski,1
Agnieszka Cudnoch-jedrzejewska,Marcin Chlebus,1
Agnieszka Cudnoch-jedrzejewska,Miroslaw Wielgos,1
Agnieszka Fihel,Anna Janicka,1
Agnieszka Fihel,Anna Nicinska,3
Agnieszka Fihel,Joanna Nestorowicz,1
Agnieszka Fihel,Malgorzata Kalbarczyk,3
Agnieszka Fihel,Marek Okolski,1
Agnieszka Fihel,Pawel Kaczmarczyk,4
Agnieszka Fihel,Renata Stefanska,1
Agnieszka Hryniewicka,Bartlomiej Rokicki,1
Agnieszka Hryniewicka,Iwona Kukulak-dolata,1
Agnieszka Hryniewicka,Lukasz Arendt,1
Agnieszka Kopanska,Anna Bartczak,2
Agnieszka Kopanska,Anthony Levitas,1
Agnieszka Kopanska,Jan Raczka,1
Agnieszka Kopanska,Joanna Siwinska-gorzelak,1
Agnieszka Kopanska,Krzysztof Witkowski,1
Agnieszka Kopanska,Michal Zarzycki,1
Agnieszka Kopanska,Roman Asinski,1
Agnieszka Kopanska,Thomas H cochran,1
Agnieszka Kopanska,Tony Levitas,1
Agnieszka Kulesza,Aleksandra Zolocinska,1
Agnieszka Kulesza,Anna Burdzinska,1
Agnieszka Kulesza,Beata Kaleta,1
Agnieszka Kulesza,Filip A dabrowski,1
Agnieszka Kulesza,Jan Borysowski,1
Agnieszka Kulesza,Leszek Paczek,1
Agnieszka Kulesza,Marcin Chlebus,1
Agnieszka Kulesza,Miroslaw Wielgos,1
Agnieszka Piechocka-kaluzna,Aldona Kamela-sowinska,1
Agnieszka Piechocka-kaluzna,Dawid Garstecki,1
Agnieszka Piechocka-kaluzna,Elzbieta Izabela szczepankiewicz,1
Agnieszka Piechocka-kaluzna,Ewa Rozanska,1
Agnieszka Piechocka-kaluzna,Helena Poetschke,1
Agnieszka Piechocka-kaluzna,Joanna Blazynska,1
Agnieszka Piechocka-kaluzna,Lukasz Matuszak,1
Agnieszka Piechocka-kaluzna,Magdalena Kowalczyk,1
Agnieszka Piechocka-kaluzna,Malgorzata Czerny,1
Agnieszka Piechocka-kaluzna,Malgorzata Macuda,1
Agnieszka Piechocka-kaluzna,Marek Cieslak,1
Agnieszka Piechocka-kaluzna,Marek Masztalerz,1
Agnieszka Piechocka-kaluzna,Maria Kiedrowska,1
Agnieszka Piechocka-kaluzna,Marzena Remlein,1
Agnieszka Piechocka-kaluzna,Piotr Gut,1
Agnieszka Piechocka-kaluzna,Remigiusz Napiecek,1
Agnieszka Piechocka-kaluzna,Wojciech Fliegner,1
Agnieszka Pugacewicz,Alfred Tovias,1
Agnieszka Pugacewicz,Jacek Rothert,1
Agnieszka Pugacewicz,Jan Hagemejer,1
Agnieszka Pugacewicz,Jan Michalek,1
Agnieszka Pugacewicz,Mark Vancauteren,1
Agnieszka Pugacewicz,Victoria Roshal,1
Agnieszka Sobianowska-turek,Anna Barbara janicka,1
Agnieszka Sobianowska-turek,Anna Janicka,1
Agnieszka Sobianowska-turek,Jedrzej Matla,1
Agnieszka Sobianowska-turek,Maciej Zawislak,1
Agnieszka Sobianowska-turek,Marek Reksa,1
Agnieszka Sobianowska-turek,Weronika Urbanska,1
Agnieszka Stazka-gawrysiak,Anna Kosior,2
Agnieszka Stazka-gawrysiak,Beata Bierut,2
Agnieszka Stazka-gawrysiak,Grzegorz Tchorek,2
Agnieszka Stazka-gawrysiak,Izabela D tymoczko,2
Agnieszka Stazka-gawrysiak,Jacek Lewkowicz,2
Agnieszka Stazka-gawrysiak,Jakub Growiec,2
Agnieszka Stazka-gawrysiak,Jakub Muck,2
