Source,Target,Weight,Source_normalized,Target_normalized
Abdul Haseeb,Muhammad Usman,1,abdul haseeb,muhammad usman
Abdul Haseeb,Muhammad Wasif zafar,1,abdul haseeb,muhammad wasif zafar
Abdul Haseeb,Rana Umair ashraf,1,abdul haseeb,rana umair ashraf
Abdul Haseeb,Zhiqiang Ma,1,abdul haseeb,ma zhiqiang
Adam Polko,Artur Ochojski,6,adam polko,artur ochojski
Adam Polko,Dagmara Kociuba,2,adam polko,dagmara kociuba
Adam Polko,Katarzyna Kopczewska,4,adam polko,katarzyna kopczewska
Adam Polko,Pawel Churski,6,adam polko,pawel churski
Adele Ossareh,Mohammad Saeed pourjafar,1,adele ossareh,mohammad saeed pourjafar
Adele Ossareh,Tomasz Kopczewski,1,adele ossareh,kopczewski tomasz
Adrian Penalver,Claus Brand,1,adrian penalver,claus brand
Adrian Penalver,Marcin Bielecki,1,adrian penalver,marcin bielecki
Adriana Wloka,Aleksandra Keska,1,adriana wloka,aleksandra keska
Adriana Wloka,Anna Janicka,1,adriana wloka,anna barbara janicka
Adriana Wloka,Joanna Swiesciak,1,adriana wloka,joanna swiesciak
Adriana Wloka,Justyna Molska,1,adriana wloka,justyna molska
Adriana Wloka,Kacper Ostrowski,1,adriana wloka,kacper ostrowski
Adriana Wloka,Maciej Zawislak,1,adriana wloka,maciej zawislak
Adriana Wloka,Radoslaw Wlostowski,1,adriana wloka,radoslaw wlostowski
Agata Balmas,Grzegorz Kula,2,agata balmas,kula grzegorz
Agata Balmas,Kamila Waclawska,2,agata balmas,kamila waclawska
Agata Balmas,Monika Koppl turyna,2,agata balmas,monika koppl turyna
Agata Gondek,Agnieszka Cudnoch-jedrzejewska,1,agata gondek,agnieszka cudnoch-jedrzejewska
Agata Gondek,Barbara Grzechocinska,1,agata gondek,barbara grzechocinska
Agata Gondek,Filip A dabrowski,1,agata gondek,filip a dabrowski
Agata Gondek,Katarzyna Czarzasta,1,agata gondek,katarzyna czarzasta
Agata Gondek,Lukasz Michalowski,1,agata gondek,lukasz michalowski
Agata Gondek,Marcin Chlebus,1,agata gondek,marcin chlebus
Agata Gondek,Miroslaw Wielgos,1,agata gondek,miroslaw wielgos
Agata Gorny,Andrzej Kubisiak,1,agata gorny,andrzej kubisiak
Agata Gorny,Aneta Stefanczyk,1,agata gorny,aneta stefanczyk
Agata Gorny,Maciej Bitner,1,agata gorny,maciej bitner
Agata Gorny,Maciej Duszczyk,1,agata gorny,maciej duszczyk
Agata Gorny,Marek Okolski,1,agata gorny,marek okolski
Agata Gorny,Monika Szulecka,1,agata gorny,monika szulecka
Agata Gorny,Pawel Kaczmarczyk,4,agata gorny,pawel kaczmarczyk
Agata Gorny,Urszula Siedlecka,1,agata gorny,urszula siedlecka
Agata Kocia,Anna Zurawiecka,1,agata kocia,anna zurawiecka
Agata Kocia,Christian J delaunay,2,agata kocia,christian j delaunay
Agata Kocia,Grazyna Szymanska,1,agata kocia,grazyna szymanska
Agata Kocia,Janusz Kudla,6,agata kocia,janusz kudla
Agata Kocia,Katarzyna Kopczewska,6,agata kocia,katarzyna kopczewska
Agata Kocia,Konrad Walczyk,6,agata kocia,konrad walczyk
Agata Kocia,Krzysztof Opolski,3,agata kocia,krzysztof opolski
Agata Kocia,Marta Lubieniecka,2,agata kocia,marta lubieniecka
Agata Kocia,Marzena Maselewska,2,agata kocia,marzena maselewska
Agata Kocia,Natalia Nehrebecka,1,agata kocia,natalia nehrebecka
Agata Kocia,Piotr Modzelewski,2,agata kocia,piotr modzelewski
Agata Kocia,Robert Kruszewski,6,agata kocia,robert kruszewski
Agata Kocia,Torrisi Richard c,2,agata kocia,richard c torrisi
Agata Miazga,Anna Nicinska,1,agata miazga,anna nicinska
Agata Miazga,Malgorzata Kalbarczyk,1,agata miazga,malgorzata kalbarczyk
Agnieszka Allen,Filip Targowski,1,agnieszka allen,filip targowski
Agnieszka Allen,Grzegorz Tchorek,1,agnieszka allen,grzegorz tchorek
Agnieszka Allen,Katarzyna Dziewanowska,1,agnieszka allen,katarzyna dziewanowska
Agnieszka Allen,Michal Brzozowski,1,agnieszka allen,michal brzozowski
Agnieszka Allen,Michal Kurtyka,1,agnieszka allen,michal kurtyka
Agnieszka Allen,Waldemar Koziol,1,agnieszka allen,waldemar koziol
Agnieszka Chlon-dominczak,Anita Abramowska-kmon,1,agnieszka chlon-dominczak,anita abramowska-kmon
Agnieszka Chlon-dominczak,Anna Maliszewka,1,agnieszka chlon-dominczak,anna maliszewka
Agnieszka Chlon-dominczak,Anna Nicinska,1,agnieszka chlon-dominczak,anna nicinska
Agnieszka Chlon-dominczak,Dorota Holzer-zelazewska,1,agnieszka chlon-dominczak,dorota holzer-zelazewska
Agnieszka Chlon-dominczak,Irena E kotowska,1,agnieszka chlon-dominczak,irena e kotowska
Agnieszka Chlon-dominczak,Magdalena Michalejko,1,agnieszka chlon-dominczak,magdalena michalejko
Agnieszka Chlon-dominczak,Maja Rynko,1,agnieszka chlon-dominczak,maja rynko
Agnieszka Chlon-dominczak,Malgorzata Bala,1,agnieszka chlon-dominczak,malgorzata bala
Agnieszka Chlon-dominczak,Malgorzata Kalbarczyk-steclik,1,agnieszka chlon-dominczak,malgorzata kalbarczyk-steclik
Agnieszka Chlon-dominczak,Marta Palczynska,1,agnieszka chlon-dominczak,marta palczynska
Agnieszka Chlon-dominczak,Mateusz Najsztub,1,agnieszka chlon-dominczak,mateusz najsztub
Agnieszka Chlon-dominczak,Michal Myck,1,agnieszka chlon-dominczak,michal myck
Agnieszka Chlon-dominczak,Monika Oczkowska,1,agnieszka chlon-dominczak,monika oczkowska
Agnieszka Chlon-dominczak,Roman Topor-madry,1,agnieszka chlon-dominczak,roman topor-madry
Agnieszka Chlon-dominczak,Wojciech Paczynski,1,agnieszka chlon-dominczak,wojciech paczynski
Agnieszka Cudnoch-jedrzejewska,Barbara Grzechocinska,1,agnieszka cudnoch-jedrzejewska,barbara grzechocinska
Agnieszka Cudnoch-jedrzejewska,Filip A dabrowski,1,agnieszka cudnoch-jedrzejewska,filip a dabrowski
Agnieszka Cudnoch-jedrzejewska,Katarzyna Czarzasta,1,agnieszka cudnoch-jedrzejewska,katarzyna czarzasta
Agnieszka Cudnoch-jedrzejewska,Lukasz Michalowski,1,agnieszka cudnoch-jedrzejewska,lukasz michalowski
Agnieszka Cudnoch-jedrzejewska,Marcin Chlebus,1,agnieszka cudnoch-jedrzejewska,marcin chlebus
Agnieszka Cudnoch-jedrzejewska,Miroslaw Wielgos,1,agnieszka cudnoch-jedrzejewska,miroslaw wielgos
Agnieszka Fihel,Anna Janicka,1,agnieszka fihel,anna barbara janicka
Agnieszka Fihel,Anna Nicinska,3,agnieszka fihel,anna nicinska
Agnieszka Fihel,Joanna Nestorowicz,1,agnieszka fihel,joanna nestorowicz
Agnieszka Fihel,Malgorzata Kalbarczyk,3,agnieszka fihel,malgorzata kalbarczyk
Agnieszka Fihel,Marek Okolski,1,agnieszka fihel,marek okolski
Agnieszka Fihel,Pawel Kaczmarczyk,4,agnieszka fihel,pawel kaczmarczyk
Agnieszka Fihel,Renata Stefanska,1,agnieszka fihel,renata stefanska
Agnieszka Hryniewicka,Bartlomiej Rokicki,1,agnieszka hryniewicka,bartlomiej rokicki
Agnieszka Hryniewicka,Iwona Kukulak-dolata,1,agnieszka hryniewicka,iwona kukulak-dolata
Agnieszka Hryniewicka,Lukasz Arendt,1,agnieszka hryniewicka,lukasz arendt
Agnieszka Kopanska,Anna Bartczak,2,kopanska agnieszka,anna bartczak
Agnieszka Kopanska,Anthony Levitas,1,kopanska agnieszka,anthony levitas
Agnieszka Kopanska,Jan Raczka,1,kopanska agnieszka,jan raczka
Agnieszka Kopanska,Joanna Siwinska-gorzelak,1,kopanska agnieszka,joanna siwinska-gorzelak
Agnieszka Kopanska,Krzysztof Witkowski,1,kopanska agnieszka,krzysztof witkowski
Agnieszka Kopanska,Michal Zarzycki,1,kopanska agnieszka,michal zarzycki
Agnieszka Kopanska,Roman Asinski,1,kopanska agnieszka,roman asinski
Agnieszka Kopanska,Thomas H cochran,1,kopanska agnieszka,thomas h cochran
Agnieszka Kopanska,Tony Levitas,1,kopanska agnieszka,tony levitas
Agnieszka Kulesza,Aleksandra Zolocinska,1,agnieszka kulesza,aleksandra zolocinska
Agnieszka Kulesza,Anna Burdzinska,1,agnieszka kulesza,anna burdzinska
Agnieszka Kulesza,Beata Kaleta,1,agnieszka kulesza,beata kaleta
Agnieszka Kulesza,Filip A dabrowski,1,agnieszka kulesza,filip a dabrowski
Agnieszka Kulesza,Jan Borysowski,1,agnieszka kulesza,jan borysowski
Agnieszka Kulesza,Leszek Paczek,1,agnieszka kulesza,leszek paczek
Agnieszka Kulesza,Marcin Chlebus,1,agnieszka kulesza,marcin chlebus
Agnieszka Kulesza,Miroslaw Wielgos,1,agnieszka kulesza,miroslaw wielgos
Agnieszka Piechocka-kaluzna,Aldona Kamela-sowinska,1,agnieszka piechocka-kaluzna,aldona kamela-sowinska
Agnieszka Piechocka-kaluzna,Dawid Garstecki,1,agnieszka piechocka-kaluzna,dawid garstecki
Agnieszka Piechocka-kaluzna,Elzbieta Izabela szczepankiewicz,1,agnieszka piechocka-kaluzna,elzbieta izabela szczepankiewicz
Agnieszka Piechocka-kaluzna,Ewa Rozanska,1,agnieszka piechocka-kaluzna,ewa rozanska
