Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,NormId,Author,Community
Katarzyna Kopczewska,Katarzyna Kopczewska,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",25,11,Katarzyna Kopczewska,Katarzyna Kopczewska,1
Janusz Kudla,Janusz Kudla,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,Janusz Kudla,Janusz Kudla,1
Konrad Walczyk,Konrad Walczyk,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,Konrad Walczyk,Konrad Walczyk,1
Robert Kruszewski,Robert Kruszewski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",6,6,Robert Kruszewski,Robert Kruszewski,1
Agata Kocia,Agata Kocia,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",20,10,Agata Kocia,Agata Kocia,1
Krzysztof Opolski,Krzysztof Opolski,Noise,,3,2,Krzysztof Opolski,Krzysztof Opolski,1
Piotr Modzelewski,Piotr Modzelewski,Noise,,2,1,Piotr Modzelewski,Piotr Modzelewski,1
Torrisi Richard c,Torrisi Richard c,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,Torrisi Richard c,Torrisi Richard c,1
Christian J delaunay,Christian J delaunay,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,Christian J delaunay,Christian J delaunay,1
Marta Lubieniecka,Marta Lubieniecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,Marta Lubieniecka,Marta Lubieniecka,1
Anna Zurawiecka,Anna Zurawiecka,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Anna Zurawiecka,Anna Zurawiecka,1
Grazyna Szymanska,Grazyna Szymanska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Grazyna Szymanska,Grazyna Szymanska,1
Marzena Maselewska,Marzena Maselewska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,2,Marzena Maselewska,Marzena Maselewska,1
Natalia Nehrebecka,Natalia Nehrebecka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,Natalia Nehrebecka,Natalia Nehrebecka,8
Anna Bartczak,Anna Bartczak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,Anna Bartczak,Anna Bartczak,9
Agnieszka Kopanska,Agnieszka Kopanska,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",8,6,Agnieszka Kopanska,Agnieszka Kopanska,9
Jan Raczka,Jan Raczka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Jan Raczka,Jan Raczka,9
Roman Asinski,Roman Asinski,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Roman Asinski,Roman Asinski,9
Tony Levitas,Tony Levitas,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Tony Levitas,Tony Levitas,9
Roman Dolata,Roman Dolata,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,1,Roman Dolata,Roman Dolata,8
Michal Sitek,Michal Sitek,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,Michal Sitek,Michal Sitek,8
Kopanska Agnieszka,Kopanska Agnieszka,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Kopanska Agnieszka,Kopanska Agnieszka,37
Kula Grzegorz,Kula Grzegorz,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Kula Grzegorz,Kula Grzegorz,37
Siwinska-gorzelak Joanna,Siwinska-gorzelak Joanna,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Siwinska-gorzelak Joanna,Siwinska-gorzelak Joanna,37
Bukowska Grazyna,Bukowska Grazyna,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Bukowska Grazyna,Bukowska Grazyna,37
Mlochowska Magdalena,Mlochowska Magdalena,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Mlochowska Magdalena,Mlochowska Magdalena,37
Andrzej Cieslik,Andrzej Cieslik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",55,20,Andrzej Cieslik,Andrzej Cieslik,3
Lukasz Goczek,Lukasz Goczek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",16,4,Lukasz Goczek,Lukasz Goczek,3
