Source,Target,Type,Id,Label,Weight
Abdul Haseeb,Muhammad Usman,Undirected,22104,,1
Abdul Haseeb,Muhammad Wasif zafar,Undirected,22105,,1
Abdul Haseeb,Rana Umair ashraf,Undirected,22106,,1
Abdul Haseeb,Zhiqiang Ma,Undirected,22107,,1
Adam Polko,Artur Ochojski,Undirected,22108,,6
Adam Polko,Dagmara Kociuba,Undirected,22109,,2
Adam Polko,Katarzyna Kopczewska,Undirected,22110,,4
Adam Polko,Pawel Churski,Undirected,22111,,6
Adele Ossareh,Mohammad Saeed pourjafar,Undirected,22112,,1
Adele Ossareh,Tomasz Kopczewski,Undirected,22113,,1
Adrian Penalver,Claus Brand,Undirected,22114,,1
Adrian Penalver,Marcin Bielecki,Undirected,22115,,1
Adriana Wloka,Aleksandra Keska,Undirected,22116,,1
Adriana Wloka,Anna Janicka,Undirected,22117,,1
Adriana Wloka,Joanna Swiesciak,Undirected,22118,,1
Adriana Wloka,Justyna Molska,Undirected,22119,,1
Adriana Wloka,Kacper Ostrowski,Undirected,22120,,1
Adriana Wloka,Maciej Zawislak,Undirected,22121,,1
Adriana Wloka,Radoslaw Wlostowski,Undirected,22122,,1
Agata Balmas,Grzegorz Kula,Undirected,22123,,2
Agata Balmas,Kamila Waclawska,Undirected,22124,,2
Agata Balmas,Monika Koppl turyna,Undirected,22125,,2
Agata Gondek,Agnieszka Cudnoch-jedrzejewska,Undirected,22126,,1
Agata Gondek,Barbara Grzechocinska,Undirected,22127,,1
Agata Gondek,Filip A dabrowski,Undirected,22128,,1
Agata Gondek,Katarzyna Czarzasta,Undirected,22129,,1
Agata Gondek,Lukasz Michalowski,Undirected,22130,,1
Agata Gondek,Marcin Chlebus,Undirected,22131,,1
Agata Gondek,Miroslaw Wielgos,Undirected,22132,,1
Agata Gorny,Andrzej Kubisiak,Undirected,22133,,1
Agata Gorny,Aneta Stefanczyk,Undirected,22134,,1
Agata Gorny,Maciej Bitner,Undirected,22135,,1
Agata Gorny,Maciej Duszczyk,Undirected,22136,,1
Agata Gorny,Marek Okolski,Undirected,22137,,1
Agata Gorny,Monika Szulecka,Undirected,22138,,1
Agata Gorny,Pawel Kaczmarczyk,Undirected,22139,,4
Agata Gorny,Urszula Siedlecka,Undirected,22140,,1
Agata Kocia,Anna Zurawiecka,Undirected,22141,,1
Agata Kocia,Christian J delaunay,Undirected,22142,,2
Agata Kocia,Grazyna Szymanska,Undirected,22143,,1
Agata Kocia,Janusz Kudla,Undirected,22144,,6
Agata Kocia,Katarzyna Kopczewska,Undirected,22145,,6
Agata Kocia,Konrad Walczyk,Undirected,22146,,6
Agata Kocia,Krzysztof Opolski,Undirected,22147,,3
Agata Kocia,Marta Lubieniecka,Undirected,22148,,2
Agata Kocia,Marzena Maselewska,Undirected,22149,,2
Agata Kocia,Natalia Nehrebecka,Undirected,22150,,1
Agata Kocia,Piotr Modzelewski,Undirected,22151,,2
Agata Kocia,Robert Kruszewski,Undirected,22152,,6
Agata Kocia,Torrisi Richard c,Undirected,22153,,2
Agata Miazga,Anna Nicinska,Undirected,22154,,1
Agata Miazga,Malgorzata Kalbarczyk,Undirected,22155,,1
Agnieszka Allen,Filip Targowski,Undirected,22156,,1
Agnieszka Allen,Grzegorz Tchorek,Undirected,22157,,1
Agnieszka Allen,Katarzyna Dziewanowska,Undirected,22158,,1
Agnieszka Allen,Michal Brzozowski,Undirected,22159,,1
Agnieszka Allen,Michal Kurtyka,Undirected,22160,,1
Agnieszka Allen,Waldemar Koziol,Undirected,22161,,1
Agnieszka Chlon-dominczak,Anita Abramowska-kmon,Undirected,22162,,1
Agnieszka Chlon-dominczak,Anna Maliszewka,Undirected,22163,,1
Agnieszka Chlon-dominczak,Anna Nicinska,Undirected,22164,,1
Agnieszka Chlon-dominczak,Dorota Holzer-zelazewska,Undirected,22165,,1
Agnieszka Chlon-dominczak,Irena E kotowska,Undirected,22166,,1
Agnieszka Chlon-dominczak,Magdalena Michalejko,Undirected,22167,,1
Agnieszka Chlon-dominczak,Maja Rynko,Undirected,22168,,1
Agnieszka Chlon-dominczak,Malgorzata Bala,Undirected,22169,,1
Agnieszka Chlon-dominczak,Malgorzata Kalbarczyk-steclik,Undirected,22170,,1
Agnieszka Chlon-dominczak,Marta Palczynska,Undirected,22171,,1
Agnieszka Chlon-dominczak,Mateusz Najsztub,Undirected,22172,,1
Agnieszka Chlon-dominczak,Michal Myck,Undirected,22173,,1
Agnieszka Chlon-dominczak,Monika Oczkowska,Undirected,22174,,1
Agnieszka Chlon-dominczak,Roman Topor-madry,Undirected,22175,,1
Agnieszka Chlon-dominczak,Wojciech Paczynski,Undirected,22176,,1
Agnieszka Cudnoch-jedrzejewska,Barbara Grzechocinska,Undirected,22177,,1
Agnieszka Cudnoch-jedrzejewska,Filip A dabrowski,Undirected,22178,,1
Agnieszka Cudnoch-jedrzejewska,Katarzyna Czarzasta,Undirected,22179,,1
Agnieszka Cudnoch-jedrzejewska,Lukasz Michalowski,Undirected,22180,,1
Agnieszka Cudnoch-jedrzejewska,Marcin Chlebus,Undirected,22181,,1
Agnieszka Cudnoch-jedrzejewska,Miroslaw Wielgos,Undirected,22182,,1
Agnieszka Fihel,Anna Janicka,Undirected,22183,,1
Agnieszka Fihel,Anna Nicinska,Undirected,22184,,3
Agnieszka Fihel,Joanna Nestorowicz,Undirected,22185,,1
Agnieszka Fihel,Malgorzata Kalbarczyk,Undirected,22186,,3
Agnieszka Fihel,Marek Okolski,Undirected,22187,,1
Agnieszka Fihel,Pawel Kaczmarczyk,Undirected,22188,,4
Agnieszka Fihel,Renata Stefanska,Undirected,22189,,1
Agnieszka Hryniewicka,Bartlomiej Rokicki,Undirected,22190,,1
Agnieszka Hryniewicka,Iwona Kukulak-dolata,Undirected,22191,,1
Agnieszka Hryniewicka,Lukasz Arendt,Undirected,22192,,1
Agnieszka Kopanska,Anna Bartczak,Undirected,22193,,2
Agnieszka Kopanska,Anthony Levitas,Undirected,22194,,1
Agnieszka Kopanska,Jan Raczka,Undirected,22195,,1
Agnieszka Kopanska,Joanna Siwinska-gorzelak,Undirected,22196,,1
Agnieszka Kopanska,Krzysztof Witkowski,Undirected,22197,,1
Agnieszka Kopanska,Michal Zarzycki,Undirected,22198,,1
Agnieszka Kopanska,Roman Asinski,Undirected,22199,,1
