Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id
Andrzej Cieslik,Andrzej Cieslik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",55,20,cieslik andrzej
Robert Slepaczuk,Robert Slepaczuk,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",37,35,robert slepaczuk
Pawel Sakowski,Pawel Sakowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",32,26,pawel sakowski
Katarzyna Kopczewska,Katarzyna Kopczewska,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",25,11,katarzyna kopczewska
Jerzy Mycielski,Jerzy Mycielski,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",24,11,mycielski jerzy
Jacek Lewkowicz,Jacek Lewkowicz,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",22,8,jacek lewkowicz
Marcin Bielecki,Marcin Bielecki,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",22,9,marcin bielecki
Jan Jakub michalek,Jan Jakub michalek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",21,14,jan jakub michalek
Jan Hagemejer,Jan Hagemejer,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",21,7,jan hagemejer
Juliusz Jablecki,Juliusz Jablecki,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",20,8,jablecki juliusz
Agata Kocia,Agata Kocia,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",20,10,agata kocia
Grzegorz Wesolowski,Grzegorz Wesolowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",20,15,grzegorz wesolowski
Anna Nicinska,Anna Nicinska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",19,5,anna nicinska
Rana Umair ashraf,Rana Umair ashraf,Noise,,19,4,rana umair ashraf
Marcin Chlebus,Marcin Chlebus,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",19,7,marcin chlebus
Michal Brzozowski,Michal Brzozowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",18,5,michal brzozowski
Maciej Jakubowski,Maciej Jakubowski,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",18,11,maciej jakubowski
Bartlomiej Rokicki,Bartlomiej Rokicki,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",18,16,bartlomiej rokicki
Marcin Gruszczynski,Marcin Gruszczynski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",18,8,marcin gruszczynski
Mikolaj Czajkowski,Mikolaj Czajkowski,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",18,10,mikolaj czajkowski
Krzysztof Szczygielski,Krzysztof Szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",18,12,and richard woodward krzysztof szczygielski
Olga Kiuila,Olga Kiuila,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",18,13,olga kiuila
Wojciech W grabowski,Wojciech W grabowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",17,12,wojciech w grabowski
Katarzyna Metelska-szaniawska,Katarzyna Metelska-szaniawska,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",17,8,katarzyna metelskaszaniawska
Ewa Aksman,Ewa Aksman,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",17,13,ewa aksman
Tomasz Kopczewski,Tomasz Kopczewski,Noise,,17,7,kopczewski tomasz
Lukasz Goczek,Lukasz Goczek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",16,4,lukasz goczek
Joanna Tyrowicz,Joanna Tyrowicz,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",16,11,joanna tyrowicz
Pawel Kaczmarczyk,Pawel Kaczmarczyk,Noise,,16,9,pawel kaczmarczyk
Piotr Boguszewski,Piotr Boguszewski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",15,10,piotr boguszewski
Eva Sierminska,Eva Sierminska,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",14,9,eva m sierminska
Grzegorz Kula,Grzegorz Kula,Noise,,14,4,kula grzegorz
Lukasz Matuszak,Lukasz Matuszak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",14,12,lukasz matuszak
Anna Janicka,Anna Janicka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",13,7,anna barbara janicka
Stanislaw Cichocki,Stanislaw Cichocki,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",12,5,stanislaw cichocki
Jakub Michankow,Jakub Michankow,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",11,9,jakub michankow
Marcin Kolasa,Marcin Kolasa,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",11,8,marcin kolasa
Krzysztof Makarski,Krzysztof Makarski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",10,8,krzysztof makarski
Michal Brzoza-brzezina,Michal Brzoza-brzezina,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",10,7,michal brzozabrzezina
Nick Hanley,Nick Hanley,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",9,5,nick hanley
Ryszard Kokoszczynski,Ryszard Kokoszczynski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",8,6,ryszard kokoszczynski
Agnieszka Kopanska,Agnieszka Kopanska,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",8,6,kopanska agnieszka
Ewa Rozanska,Ewa Rozanska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",8,8,ewa rozanska
Agnieszka Fihel,Agnieszka Fihel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",7,3,agnieszka fihel
Katarzyna Dabrowska-gruszczynska,Katarzyna Dabrowska-gruszczynska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",7,6,katarzyna dabrowskagruszczynska
Syed Anees haider zaidi,Syed Anees haider zaidi,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",7,2,syed anees haider zaidi
Anna Lewczuk,Anna Lewczuk,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",6,4,anna lewczuk
Maria Kubara,Maria Kubara,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",6,3,maria kubara mikos
